2|0|0|0|0|0|0|text|24|nonotools|152|476|100|25
1|0|0|0|1|1|1|menu1|12|Animals|20|20|200|75
1|0|0|0|1|1|2|menu2|12|Songs|20|115|200|75
1|0|0|0|1|1|3|menu3|12|Credits|20|210|200|75
1|0|1|0|1|1|0|menu|12|Menu|87|400|125|75
1|0|1|0|1|4|4|animal1|12|Animal1|22|45|129|158
1|0|1|0|1|4|4|animal2|12|Animal2|148|45|129|158
1|0|1|0|1|4|4|animal3|12|Animal3|20|222|129|158
1|0|1|0|1|4|4|animal4|12|Animal4|151|218|129|158
1|0|2|0|1|1|0|menu|12|Menu|87|400|125|75
1|0|2|0|1|4|4|song1|12|Song1|20|20|200|75
1|0|2|0|1|4|4|song2|12|Song2|20|115|200|75
1|0|2|0|1|4|4|song3|12|Song3|20|210|200|75
1|0|3|0|1|1|0|menu|12|Menu|87|400|125|75
2|0|3|0|0|0|0|text|24|to my nephew with love|25|225|250|25
